Dataset,Run ID,Treatment,Best Model,TP Rate - Best,FP Rate - Best,Precision - Best,Recall - Best,ROC Area - Best,Kappa - Best,TP Rate - RandomForest,FP Rate - RandomForest,Precision - RandomForest,Recall - RandomForest,ROC Area- RandomForest,Kappa - RandomForest
Ant,97,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.816466388,0.42051697,0.575757576,0.151724138,0.535211268,0.575757576,0.80522466,0.413133113
Ant,98,Oversampling,meta.AdaBoostM1,0.75,0.250574713,0.475961538,0.75,0.797927551,0.416006615,0.568181818,0.154022989,0.528169014,0.568181818,0.785466736,0.403512344
Ant,99,Oversampling,meta.AdaBoostM1,0.643939394,0.154022989,0.559210526,0.643939394,0.806853013,0.465359801,0.553030303,0.126436782,0.5703125,0.553030303,0.807593173,0.431143732
Ant,100,Oversampling,meta.AdaBoostM1,0.78030303,0.264367816,0.472477064,0.78030303,0.817206548,0.42051697,0.575757576,0.137931034,0.558823529,0.575757576,0.794583769,0.433254059
Ant,1,Undersampling,functions.Logistic,0.727272727,0.236781609,0.48241206,0.727272727,0.812608847,0.41680911,0.772727273,0.333333333,0.412955466,0.772727273,0.797448624,0.337107927
Ant,2,Undersampling,functions.Logistic,0.704545455,0.248275862,0.462686567,0.704545455,0.800783699,0.385997481,0.727272727,0.285057471,0.436363636,0.727272727,0.795228144,0.358887381
Ant,3,Undersampling,functions.Logistic,0.696969697,0.220689655,0.489361702,0.696969697,0.799285963,0.414967225,0.71969697,0.291954023,0.427927928,0.71969697,0.802211773,0.345661811
Ant,4,Undersampling,functions.Logistic,0.712121212,0.218390805,0.497354497,0.712121212,0.807140369,0.429184549,0.75,0.298850575,0.43231441,0.75,0.796865204,0.359215425
Ant,5,Undersampling,functions.Logistic,0.742424242,0.216091954,0.510416667,0.742424242,0.818199234,0.454397835,0.71969697,0.282758621,0.435779817,0.71969697,0.802856148,0.356129966
Ant,6,Undersampling,functions.Logistic,0.71969697,0.186206897,0.539772727,0.71969697,0.814123999,0.477998315,0.75,0.298850575,0.43231441,0.75,0.802664577,0.359215425
Ant,7,Undersampling,functions.Logistic,0.704545455,0.222988506,0.489473684,0.704545455,0.815569488,0.41764466,0.75,0.236781609,0.49009901,0.75,0.813392546,0.433208379
Ant,8,Undersampling,functions.Logistic,0.712121212,0.275862069,0.439252336,0.712121212,0.796447231,0.35866157,0.75,0.314942529,0.419491525,0.75,0.794575061,0.34138242
Ant,9,Undersampling,functions.Logistic,0.666666667,0.170114943,0.543209877,0.666666667,0.805311738,0.460130719,0.734848485,0.291954023,0.433035714,0.734848485,0.796865204,0.356386109
Ant,10,Undersampling,functions.Logistic,0.704545455,0.245977011,0.465,0.704545455,0.800870777,0.388810136,0.75,0.303448276,0.428571429,0.75,0.80943922,0.354066986
Ant,11,Undersampling,functions.Logistic,0.689393939,0.209195402,0.5,0.689393939,0.803517938,0.424232633,0.772727273,0.324137931,0.419753086,0.772727273,0.801262626,0.346972177
Ant,12,Undersampling,functions.Logistic,0.674242424,0.243678161,0.456410256,0.674242424,0.799303379,0.369195619,0.71969697,0.275862069,0.441860465,0.71969697,0.817337165,0.364100036
Ant,13,Undersampling,functions.Logistic,0.71969697,0.213793103,0.505319149,0.71969697,0.811285266,0.440777495,0.75,0.271264368,0.456221198,0.75,0.802995472,0.391038088
Ant,14,Undersampling,functions.Logistic,0.689393939,0.232183908,0.473958333,0.689393939,0.805102752,0.394722598,0.772727273,0.27816092,0.457399103,0.772727273,0.830633925,0.398811906
Ant,15,Undersampling,functions.Logistic,0.727272727,0.234482759,0.484848485,0.727272727,0.803448276,0.419703644,0.787878788,0.305747126,0.438818565,0.787878788,0.80105364,0.377539122
Ant,16,Undersampling,functions.Logistic,0.696969697,0.222988506,0.486772487,0.696969697,0.799216301,0.412017167,0.734848485,0.28045977,0.442922374,0.734848485,0.793669453,0.369558289
Ant,17,Undersampling,functions.Logistic,0.696969697,0.245977011,0.462311558,0.696969697,0.787826541,0.383244167,0.71969697,0.28045977,0.437788018,0.71969697,0.801924417,0.358775205
Ant,18,Undersampling,functions.Logistic,0.704545455,0.257471264,0.453658537,0.704545455,0.781330547,0.374871312,0.727272727,0.32183908,0.406779661,0.727272727,0.786372344,0.318137094
Ant,19,Undersampling,functions.Logistic,0.696969697,0.2,0.51396648,0.696969697,0.803639847,0.442140981,0.734848485,0.250574713,0.470873786,0.734848485,0.802960641,0.405166761
Ant,20,Undersampling,functions.Logistic,0.704545455,0.236781609,0.474489796,0.704545455,0.805642633,0.400187735,0.712121212,0.294252874,0.423423423,0.712121212,0.792014977,0.337682077
Ant,21,Undersampling,functions.Logistic,0.704545455,0.227586207,0.484375,0.704545455,0.811912226,0.411772666,0.787878788,0.27816092,0.462222222,0.787878788,0.825165448,0.409288276
Ant,22,Undersampling,functions.Logistic,0.689393939,0.23908046,0.466666667,0.689393939,0.79754441,0.386129964,0.757575758,0.31954023,0.418410042,0.757575758,0.798066876,0.341597572
Ant,23,Undersampling,functions.Logistic,0.712121212,0.204597701,0.513661202,0.712121212,0.813566701,0.447330248,0.734848485,0.28045977,0.442922374,0.734848485,0.801280042,0.369558289
Ant,24,Undersampling,functions.Logistic,0.71969697,0.222988506,0.494791667,0.71969697,0.810884709,0.428822733,0.742424242,0.303448276,0.426086957,0.742424242,0.788557994,0.348789904
Ant,25,Undersampling,functions.Logistic,0.696969697,0.197701149,0.516853933,0.696969697,0.811616162,0.445231328,0.75,0.266666667,0.460465116,0.75,0.818042494,0.396502582
Ant,26,Undersampling,functions.Logistic,0.696969697,0.250574713,0.457711443,0.696969697,0.800679206,0.377643705,0.712121212,0.298850575,0.419642857,0.712121212,0.782201324,0.332548558
Ant,27,Undersampling,functions.Logistic,0.696969697,0.218390805,0.49197861,0.696969697,0.799982584,0.417930877,0.727272727,0.287356322,0.43438914,0.727272727,0.78705155,0.356258859
Ant,28,Undersampling,functions.Logistic,0.689393939,0.245977011,0.45959596,0.689393939,0.794096134,0.377653184,0.742424242,0.275862069,0.449541284,0.742424242,0.795236851,0.380275093
Ant,29,Undersampling,functions.Logistic,0.712121212,0.222988506,0.492146597,0.712121212,0.802072449,0.423246457,0.712121212,0.27816092,0.437209302,0.712121212,0.797701149,0.3559994
Ant,30,Undersampling,functions.Logistic,0.734848485,0.266666667,0.455399061,0.734848485,0.79609892,0.385742881,0.772727273,0.317241379,0.425,0.772727273,0.793051202,0.354476702
Ant,31,Undersampling,functions.Logistic,0.696969697,0.245977011,0.462311558,0.696969697,0.803483107,0.383244167,0.772727273,0.340229885,0.408,0.772727273,0.793094741,0.329813937
Ant,32,Undersampling,functions.Logistic,0.696969697,0.206896552,0.505494505,0.696969697,0.806913967,0.432956381,0.734848485,0.257471264,0.464114833,0.734848485,0.802481714,0.396769221
Ant,33,Undersampling,functions.Logistic,0.689393939,0.234482759,0.471502591,0.689393939,0.802647161,0.391845368,0.734848485,0.266666667,0.455399061,0.734848485,0.802063741,0.385742881
Ant,34,Undersampling,functions.Logistic,0.704545455,0.209195402,0.505434783,0.704545455,0.808063393,0.435587614,0.742424242,0.271264368,0.453703704,0.742424242,0.805163706,0.385681293
Ant,35,Undersampling,functions.Logistic,0.727272727,0.229885057,0.489795918,0.727272727,0.803361198,0.425531915,0.795454545,0.340229885,0.415019763,0.795454545,0.801741553,0.345062474
Ant,36,Undersampling,functions.Logistic,0.704545455,0.222988506,0.489473684,0.704545455,0.796464646,0.41764466,0.71969697,0.275862069,0.441860465,0.71969697,0.800269941,0.364100036
Ant,37,Undersampling,functions.Logistic,0.71969697,0.255172414,0.461165049,0.71969697,0.805015674,0.388643616,0.734848485,0.287356322,0.436936937,0.734848485,0.796595263,0.361621279
Ant,38,Undersampling,functions.Logistic,0.712121212,0.218390805,0.497354497,0.712121212,0.798467433,0.429184549,0.71969697,0.264367816,0.452380952,0.71969697,0.801706722,0.377616015
Ant,39,Undersampling,functions.Logistic,0.681818182,0.225287356,0.478723404,0.681818182,0.802037618,0.397760379,0.75,0.27816092,0.45,0.75,0.798406479,0.382929104
Ant,40,Undersampling,functions.Logistic,0.659090909,0.197701149,0.502890173,0.659090909,0.805433647,0.416350392,0.765151515,0.305747126,0.431623932,0.765151515,0.79933821,0.361985921
Ant,41,Undersampling,functions.Logistic,0.674242424,0.197701149,0.508571429,0.674242424,0.79902473,0.427984891,0.71969697,0.287356322,0.431818182,0.71969697,0.77597527,0.350873474
