"Original.Release","Order","Release","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,42,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,140,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,100,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,346,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,95,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,53,FALSE
