@relation 'Keymind - BA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute NR numeric
@attribute NFIX numeric
@attribute CHURN_SUM numeric
@attribute CHURN_AVG numeric
@attribute AGE numeric
@attribute Violations numeric
@attribute Size.Next numeric
@attribute Faultiness {FALSE,TRUE}

@data
11.007833,3.494734,156.943841,12.894004,23,48.336703,97.845504,TRUE
12.760704,4,177.80055,19.608139,23,37.603757,81.547831,TRUE
10.697407,3.689793,143.101645,17.408708,23,53.732445,55.072986,TRUE
12,4,40.90711,14.09455,25.412501,64,144,TRUE
11.307662,4.03418,169.533467,20.62543,22.973858,63.884819,109.338515,TRUE
9.168921,3.065504,155.765597,19.516635,23,0.252014,52.673956,TRUE
13.643954,4,178.594712,20.13982,23,10.250788,28.458277,TRUE
2.834694,1,2.394531,0.032671,23,55.300788,11.993129,TRUE
5.409961,1.7305,4.732304,0.480813,26.758149,40.416501,29,TRUE
2.114574,0.471032,1.855076,0.288032,24.071941,18.518807,24.018753,TRUE
3.362654,1,0.735605,0.393922,23,57.228082,23.914102,TRUE
3.739564,1,1.121916,0.499507,29.84947,38.957699,24.963891,TRUE
4.610761,1,3.643066,0.91159,23,43.988799,23.95057,TRUE
1.780591,0.150362,4.530191,0.434852,25.841204,32.946952,22.568216,TRUE
9,3,17.617475,3.582348,24.324687,0,20,TRUE
11.961839,3.163075,17.47094,3.591916,26.666853,0,24.606385,TRUE
10.395986,3.447855,15.183176,4.194873,26.894172,0,20.419238,TRUE
9,3,22.867382,1.044249,23.785485,0,20,TRUE
13.55832,3.465968,5.79065,6.25692,24.565408,0,22.165735,TRUE
12.408867,3.962371,43.011502,5.754971,23.516445,0,21.081933,TRUE
9,3,13.174266,5.125304,25.293334,0,20,TRUE
4.603065,1.281699,41.155159,15.970327,22.024813,6.14234,14.338976,TRUE
6.813338,0.397089,37.292904,24.745296,22.06941,15.736936,17.342672,TRUE
7.315283,6.23977,3.038787,14.660621,22,9.097279,9.94226,TRUE
6.788288,0.40434,44.692961,30.891055,22.870756,2.481238,18.537873,TRUE
13.772139,1.259163,34.602055,15.267225,22.903827,4.903464,9.732868,TRUE
1.469767,0.277947,14.602843,2.586449,26.377322,20.603559,10.113468,TRUE
13.864148,0.227406,18.04272,8.370319,24.291879,8.418131,9.604995,TRUE
9.606549,7.694409,0,0,22.151675,0,9.30597,TRUE
5.932753,6.104815,0,0,20.772997,0,15.638056,TRUE
11.913263,7.978185,0,0,27.415482,0,9.876796,TRUE
5.016809,4.903569,0,0,19.988823,0,14.209863,TRUE
7.220323,7.169336,0,0,17.867592,0,10.550409,TRUE
9,7.705327,0,0,26.168412,0,12.563496,TRUE
10.941343,7.71746,0,0,25.33404,0,9.8758,TRUE
9.948265,5,64.650787,10.078222,23.010364,8.883803,13.514088,TRUE
13.916661,6.747691,8.814549,12.738972,22.440686,0,8.115092,TRUE
10.855068,6.679739,38.521819,8.42507,22.469843,0,11.760578,TRUE
3.248483,2.493822,89.030215,32.813702,22,9.132428,10.493761,TRUE
4.277196,4.072607,66.494098,19.440639,22,10.337205,11.758891,TRUE
9.784471,5,91.03333,9.644717,22.407956,24.444128,12.238429,TRUE
9.604532,3.69899,84.356756,16.46999,22.86617,0,13.556336,TRUE
4,4,0,0,21.961446,5.689025,33.463576,TRUE
4,4,0,0,28.513828,8.013858,31.350065,TRUE
4.054767,3.070111,0,0,18.369056,3.297194,28.11336,TRUE
4,4,0,0,26.865628,6.063894,30.781244,TRUE
4.597972,3.892445,0,0,18.398669,2.840471,29.930198,TRUE
4,4,0,0,24.813103,6.503686,30.181862,TRUE
4.461053,3.176403,0,0,18.435011,3.670354,29.070033,TRUE
6.988565,3,0,0,23.763244,0,26.280158,TRUE
4.64083,3.649233,0,0,17.311158,8.203976,28.247682,TRUE
7.750673,3,0,0,25.071194,0,23.889761,TRUE
4.306383,3.166066,0,0,17.271801,1.970699,29.556729,TRUE
11.19212,3.926396,0,0,18.292043,0,27.156694,TRUE
7.88951,3.242414,0,0,24.966013,0,27.753632,TRUE
4.820821,3.857056,0,0,17.796222,3.102714,28.429637,TRUE
4.582228,3.281431,0,0,21.610282,4.26749,34.211868,TRUE
6.872525,4,0,0,28.65267,0.006826,31.927481,TRUE
4,4,0,0,21.937133,6.099569,31.917303,TRUE
4,4,0,0,19.536745,7.583264,33.641755,TRUE
4,4,0,0,27.374817,5,35,TRUE
16.85224,6.019514,0,0,28.992378,75.267796,31.99672,TRUE
26.525167,9.980224,5.789746,6.169973,25.374076,81.836745,28.47168,TRUE
6.245057,6.520982,3.244931,0.827145,25.504754,90.112454,34.789008,TRUE
8.005072,3.461533,0,0,40.078554,86.940058,34.576311,TRUE
6.788855,2.88092,0,0,39.094779,89.191612,33.229847,TRUE
25.412923,4.173033,0,0,30.672378,89.488276,32.866779,TRUE
10.511117,7.882588,0,0,27.759427,0,10.774282,TRUE
13.97215,6.856685,0,0,27.678,0,19.611902,TRUE
