"Original.Release","Release","Order","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-47,NA,0,0,0,0,0,0,0,115,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-48,NA,0,0,0,0,0,6,6,9,FALSE
"Keymind-B",102,"FIRST",3,0,1,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0,0,0,43,98,FALSE
"Keymind-B",102,"FIRST",4,0,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,5,35,TRUE
"Keymind-B",102,"FIRST",30,0,18,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0,0,0,86,35,TRUE
"Keymind-B",102,"FIRST",5,0,3,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0,0,0,59,90,FALSE
"Keymind-B",102,"FIRST",16,0,10,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0,0,0,0,9,FALSE
"Keymind-B",102,"FIRST",14,0,7,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,11,TRUE
"Keymind-B",102,"FIRST",9,0,5,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,70,15,TRUE
"Keymind-B",102,"FIRST",8,0,4,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,26,FALSE
"Keymind-B",102,"FIRST",17,0,5,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",102,"FIRST",6,0,1,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",102,"FIRST",7,0,4,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,110,54,FALSE
"Keymind-B",102,"FIRST",4,0,1,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,16,FALSE
"Keymind-B",102,"FIRST",3,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,78,44,FALSE
"Keymind-B",102,"FIRST",6,0,1,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,66,50,FALSE
"Keymind-B",102,"FIRST",6,0,2,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,95,32,TRUE
"Keymind-B",102,"FIRST",14,0,4,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,26,TRUE
"Keymind-B",102,"FIRST",12,0,4,0,0,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,64,144,TRUE
"Keymind-B",102,"FIRST",6,0,2,1,0,0,0,0,0,0,1,1,1,27,23,0,0,0,0,0,2,41,29,TRUE
